img_idx,source_file,gt_grade,gt_price,gt_payment,ext_grade,ext_price,ext_payment,ext_brand,ext_confidence,price_error,price_match,grade_matched,payment_match,status
0,0.png,Regular,3.359,Both,UNLEADED,3.359,NA,Fred Meyer,98.0,0.0,True,True,True,CORRECT
0,0.png,Mid-Grade,3.559,Both,MID-GRADE,3.559,NA,Fred Meyer,98.0,0.0,True,True,True,CORRECT
0,0.png,Diesel,3.639,Both,DIESEL,3.639,NA,Fred Meyer,98.0,0.0,True,True,True,CORRECT
0,0.png,Premium,3.659,Both,PREMIUM,3.659,NA,Fred Meyer,98.0,0.0,True,True,True,CORRECT
1,1.png,Regular,3.499,Cash,Regular,3.499,Both,Chevron,95.0,0.0,True,True,False,CORRECT
1,1.png,Mid-Grade,3.659,Cash,Plus,3.659,Both,Chevron,95.0,0.0,True,True,False,CORRECT
1,1.png,Premium,3.799,Cash,Supreme,3.799,Both,Chevron,95.0,0.0,True,True,False,CORRECT
1,1.png,Diesel,3.999,Cash,Diesel,3.999,NA,Chevron,95.0,0.0,True,True,True,CORRECT
2,2.png,Regular,2.599,Both,Regular,2.599,NA,Shell,97.0,0.0,True,True,True,CORRECT
2,2.png,Diesel,2.799,Both,Diesel,2.799,NA,Shell,97.0,0.0,True,True,True,CORRECT
3,3.png,Regular,3.559,Cash,Regular,3.559,Both,7-Eleven,95.0,0.0,True,True,False,CORRECT
3,3.png,Regular,3.659,Credit,Regular,3.659,Credit,7-Eleven,95.0,0.0,True,True,True,CORRECT
3,3.png,Mid-Grade,3.799,Cash,Plus,3.799,Both,7-Eleven,95.0,0.0,True,True,False,CORRECT
3,3.png,Mid-Grade,3.899,Credit,Plus,3.899,Credit,7-Eleven,95.0,0.0,True,True,True,CORRECT
3,3.png,Premium,3.959,Cash,Premium,3.959,Both,7-Eleven,95.0,0.0,True,True,False,CORRECT
3,3.png,Premium,4.059,Credit,Premium,4.059,Credit,7-Eleven,95.0,0.0,True,True,True,CORRECT
4,4.png,Regular,3.279,Both,Regular Gasoline,3.279,NA,Shell,95.0,0.0,True,True,True,CORRECT
4,4.png,Mid-Grade,3.479,Both,Plus Gasoline,3.479,NA,Shell,95.0,0.0,True,True,True,CORRECT
4,4.png,Premium,3.579,Both,V-Power Gasoline,3.579,NA,Shell,95.0,0.0,True,True,True,CORRECT
4,4.png,Diesel,3.679,Both,Diesel #2,3.679,NA,Shell,95.0,0.0,True,True,True,CORRECT
5,5.png,Regular,3.399,Both,Regular,3.399,NA,Exxon,90.0,0.0,True,True,True,CORRECT
5,5.png,Mid-Grade,3.499,Both,Extra,3.499,NA,Exxon,90.0,0.0,True,True,True,CORRECT
5,5.png,Premium,3.799,Both,Supreme,3.799,NA,Exxon,90.0,0.0,True,True,True,CORRECT
6,6.png,Regular,2.899,Both,Regular,2.899,NA,Shell,92.0,0.0,True,True,True,CORRECT
6,6.png,Diesel,3.159,Both,Diesel,3.159,NA,Shell,92.0,0.0,True,True,True,CORRECT
7,7.png,Regular,2.799,Both,Regular,2.799,NA,Shell,94.0,0.0,True,True,True,CORRECT
7,7.png,Diesel,3.099,Both,Diesel,3.099,NA,Shell,94.0,0.0,True,True,True,CORRECT
7,7.png,Mid-Grade,3.299,Both,Plus,3.299,NA,Shell,94.0,0.0,True,True,True,CORRECT
7,7.png,Premium,3.399,Both,V-Power,3.399,NA,Shell,94.0,0.0,True,True,True,CORRECT
8,8.png,Regular,3.399,Both,Regular,3.399,NA,Exxon,92.0,0.0,True,True,True,CORRECT
8,8.png,Mid-Grade,3.499,Both,Extra,3.499,NA,Exxon,92.0,0.0,True,True,True,CORRECT
8,8.png,Premium,3.799,Both,Supreme,3.799,NA,Exxon,92.0,0.0,True,True,True,CORRECT
9,9.png,Regular,2.959,Both,Regular Self,2.959,NA,Sunoco,94.0,0.0,True,True,True,CORRECT
9,9.png,Premium,3.559,Both,Ultra 93 Self,3.559,NA,Sunoco,94.0,0.0,True,True,True,CORRECT
10,10.png,Regular,2.799,Both,Regular Self,2.799,NA,Sunoco,96.0,0.0,True,True,True,CORRECT
10,10.png,Premium,3.399,Both,Ultra 93 Self,3.399,NA,Sunoco,96.0,0.0,True,True,True,CORRECT
11,11.png,Regular,2.799,Both,Reg Self,2.799,NA,Sunoco,98.0,0.0,True,True,True,CORRECT
11,11.png,Premium,3.399,Both,Ultra 93 Self,3.399,NA,Sunoco,98.0,0.0,True,True,True,CORRECT
12,12.png,Regular,2.629,Both,Regular,2.629,NA,Shell,97.0,0.0,True,True,True,CORRECT
12,12.png,Diesel,2.799,Both,Diesel,2.799,NA,Shell,97.0,0.0,True,True,True,CORRECT
13,13.png,Regular,2.039,Both,Regular,2.039,NA,Exxon,98.0,0.0,True,True,True,CORRECT
14,14.png,Regular,2.039,Both,Regular,2.039,NA,Exxon,98.0,0.0,True,True,True,CORRECT
15,15.png,Regular,3.279,Cash,Regular CASH,3.279,Cash,Exxon,95.0,0.0,True,True,True,CORRECT
15,15.png,Diesel,3.449,Cash,Diesel CASH,3.449,Cash,Exxon,95.0,0.0,True,True,True,CORRECT
16,16.png,Regular,2.49,Both,REGULAR,2.499,NA,Gran Prix Gasoline,95.0,0.009,True,True,True,CORRECT
17,17.png,Regular,2.179,Both,REGULAR UNLEADED,2.179,NA,CITGO,96.0,0.0,True,True,True,CORRECT
18,18.png,Regular,2.179,Both,REGULAR UNLEADED,2.179,NA,CITGO,97.0,0.0,True,True,True,CORRECT
19,19.png,Regular,2.739,Both,Regular,2.739,NA,Shell,95.0,0.0,True,True,True,CORRECT
19,19.png,Diesel,2.999,Both,Diesel,2.999,NA,Shell,94.0,0.0,True,True,True,CORRECT
20,20.png,Regular,2.659,Both,REG,2.659,NA,Speedway,96.0,0.0,True,True,True,CORRECT
20,20.png,Premium,3.059,Both,PREM,3.059,NA,Speedway,96.0,0.0,True,True,True,CORRECT
21,21.png,Diesel,3.659,Both,,,,,,,False,False,False,MISSED
21,21.png,Regular,3.659,Both,,,,,,,False,False,False,MISSED
22,22.png,Diesel,3.059,Both,,,,,,,False,False,False,MISSED
22,22.png,Regular,3.059,Both,,,,,,,False,False,False,MISSED
23,23.png,Diesel,3.699,Cash,,,,,,,False,False,False,MISSED
23,23.png,Diesel,3.699,Credit,,,,,,,False,False,False,MISSED
23,23.png,Regular,3.699,Cash,,,,,,,False,False,False,MISSED
23,23.png,Regular,3.699,Credit,,,,,,,False,False,False,MISSED
24,24.png,Diesel,3.659,Both,,,,,,,False,False,False,MISSED
24,24.png,Regular,3.659,Both,,,,,,,False,False,False,MISSED
25,25.png,Regular,3.459,Both,,,,,,,False,False,False,MISSED
25,25.png,Mid-Grade,3.659,Both,,,,,,,False,False,False,MISSED
25,25.png,Premium,3.859,Both,,,,,,,False,False,False,MISSED
26,26.png,Regular,2.899,Both,,,,,,,False,False,False,MISSED
26,26.png,Diesel,3.159,Both,,,,,,,False,False,False,MISSED
27,27.png,Regular,4.079,Both,,,,,,,False,False,False,MISSED
27,27.png,Diesel,4.239,Both,,,,,,,False,False,False,MISSED
27,27.png,Mid-Grade,4.299,Both,,,,,,,False,False,False,MISSED
27,27.png,Premium,4.399,Both,,,,,,,False,False,False,MISSED
28,28.png,Regular,2.599,Both,,,,,,,False,False,False,MISSED
28,28.png,Diesel,2.659,Both,,,,,,,False,False,False,MISSED
29,29.png,Regular,2.399,Cash,,,,,,,False,False,False,MISSED
30,30.png,Regular,2.799,Both,,,,,,,False,False,False,MISSED
30,30.png,Mid-Grade,3.199,Both,,,,,,,False,False,False,MISSED
30,30.png,Premium,3.499,Both,,,,,,,False,False,False,MISSED
31,31.png,Regular,3.459,Both,,,,,,,False,False,False,MISSED
31,31.png,Mid-Grade,3.559,Both,,,,,,,False,False,False,MISSED
31,31.png,Diesel,3.959,Both,,,,,,,False,False,False,MISSED
32,32.png,Regular,2.649,Both,,,,,,,False,False,False,MISSED
33,33.png,Regular,2.599,Both,,,,,,,False,False,False,MISSED
33,33.png,Diesel,2.659,Both,,,,,,,False,False,False,MISSED
34,34.png,Regular,2.699,Both,,,,,,,False,False,False,MISSED
34,34.png,Diesel,2.959,Both,,,,,,,False,False,False,MISSED
35,35.png,Regular,2.659,Both,,,,,,,False,False,False,MISSED
35,35.png,Diesel,3.099,Both,,,,,,,False,False,False,MISSED
36,36.png,Regular,2.599,Both,,,,,,,False,False,False,MISSED
37,37.png,Regular,2.699,Both,,,,,,,False,False,False,MISSED
38,38.png,Regular,2.699,Both,,,,,,,False,False,False,MISSED
39,39.png,Regular,2.319,Cash,,,,,,,False,False,False,MISSED
39,39.png,Regular,2.319,Credit,,,,,,,False,False,False,MISSED
40,40.png,Regular,2.599,Cash,,,,,,,False,False,False,MISSED
40,40.png,Mid-Grade,3.399,Cash,,,,,,,False,False,False,MISSED
40,40.png,Diesel,3.499,Cash,,,,,,,False,False,False,MISSED
40,40.png,Premium,3.579,Cash,,,,,,,False,False,False,MISSED
41,41.png,Regular,2.539,Both,,,,,,,False,False,False,MISSED
42,42.png,Regular,2.399,Both,,,,,,,False,False,False,MISSED
42,42.png,Mid-Grade,2.549,Both,,,,,,,False,False,False,MISSED
42,42.png,Premium,2.699,Both,,,,,,,False,False,False,MISSED
43,43.png,Regular,2.499,Both,,,,,,,False,False,False,MISSED
44,44.png,Regular,2.569,Both,,,,,,,False,False,False,MISSED
44,44.png,Mid-Grade,2.819,Both,,,,,,,False,False,False,MISSED
45,45.png,Regular,2.499,Both,,,,,,,False,False,False,MISSED
46,46.png,Regular,2.299,Cash,,,,,,,False,False,False,MISSED
46,46.png,Regular,2.469,Credit,,,,,,,False,False,False,MISSED
47,47.png,Regular,2.519,Both,,,,,,,False,False,False,MISSED
47,47.png,Diesel,2.879,Both,,,,,,,False,False,False,MISSED
48,48.png,Regular,2.399,Cash,,,,,,,False,False,False,MISSED
48,48.png,Regular,2.499,Credit,,,,,,,False,False,False,MISSED
49,49.png,Regular,2.499,Cash,,,,,,,False,False,False,MISSED
50,50.png,Regular,2.479,Both,,,,,,,False,False,False,MISSED
50,50.png,Diesel,2.959,Both,,,,,,,False,False,False,MISSED
51,51.png,Regular,2.479,Both,,,,,,,False,False,False,MISSED
51,51.png,Premium,3.099,Both,,,,,,,False,False,False,MISSED
52,52.png,Regular,2.479,Both,,,,,,,False,False,False,MISSED
53,53.png,Regular,2.439,Both,,,,,,,False,False,False,MISSED
53,53.png,Diesel,2.899,Both,,,,,,,False,False,False,MISSED
54,54.png,Regular,2.29,Cash,,,,,,,False,False,False,MISSED
55,55.png,Regular,2.339,Both,,,,,,,False,False,False,MISSED
55,55.png,Diesel,3.159,Both,,,,,,,False,False,False,MISSED
56,56.png,Regular,3.199,Both,,,,,,,False,False,False,MISSED
57,57.png,Regular,2.499,Both,,,,,,,False,False,False,MISSED
58,58.png,Regular,2.899,Both,,,,,,,False,False,False,MISSED
59,59.png,Regular,2.899,Both,,,,,,,False,False,False,MISSED
59,59.png,Diesel,3.249,Both,,,,,,,False,False,False,MISSED
60,60.png,Regular,2.339,Both,,,,,,,False,False,False,MISSED
60,60.png,Diesel,3.159,Both,,,,,,,False,False,False,MISSED
61,61.png,Regular,2.899,Both,,,,,,,False,False,False,MISSED
62,62.png,Regular,2.799,Both,,,,,,,False,False,False,MISSED
63,63.png,Regular,2.699,Both,,,,,,,False,False,False,MISSED
64,64.png,Regular,2.699,Both,,,,,,,False,False,False,MISSED
65,65.png,Regular,2.919,Cash,,,,,,,False,False,False,MISSED
65,65.png,Regular,3.019,Credit,,,,,,,False,False,False,MISSED
66,66.png,Regular,3.059,Cash,,,,,,,False,False,False,MISSED
66,66.png,Regular,3.159,Credit,,,,,,,False,False,False,MISSED
67,67.png,Regular,2.919,Cash,,,,,,,False,False,False,MISSED
67,67.png,Regular,3.019,Credit,,,,,,,False,False,False,MISSED
68,68.png,Regular,2.919,Cash,,,,,,,False,False,False,MISSED
68,68.png,Regular,3.019,Credit,,,,,,,False,False,False,MISSED
69,69.png,Regular,2.799,Cash,,,,,,,False,False,False,MISSED
69,69.png,Regular,2.899,Credit,,,,,,,False,False,False,MISSED
70,70.png,Regular,2.359,Cash,,,,,,,False,False,False,MISSED
70,70.png,Regular,2.419,Credit,,,,,,,False,False,False,MISSED
70,70.png,Diesel,2.719,Credit,,,,,,,False,False,False,MISSED
71,71.png,Regular,2.799,Cash,,,,,,,False,False,False,MISSED
71,71.png,Regular,2.899,Credit,,,,,,,False,False,False,MISSED
72,72.png,Regular,2.439,Cash,,,,,,,False,False,False,MISSED
72,72.png,Regular,2.499,Credit,,,,,,,False,False,False,MISSED
72,72.png,Diesel,2.799,Cash,,,,,,,False,False,False,MISSED
73,73.png,Regular,2.659,Cash,,,,,,,False,False,False,MISSED
73,73.png,Regular,2.759,Credit,,,,,,,False,False,False,MISSED
74,74.png,Regular,2.379,Cash,,,,,,,False,False,False,MISSED
74,74.png,Regular,2.439,Credit,,,,,,,False,False,False,MISSED
75,75.png,Regular,2.519,Cash,,,,,,,False,False,False,MISSED
75,75.png,Regular,2.599,Credit,,,,,,,False,False,False,MISSED
76,76.png,Regular,2.539,Both,,,,,,,False,False,False,MISSED
77,77.png,Regular,1.999,Both,,,,,,,False,False,False,MISSED
78,78.png,Regular,2.599,Both,,,,,,,False,False,False,MISSED
79,79.png,Regular,2.299,Cash,,,,,,,False,False,False,MISSED
79,79.png,Regular,2.349,Cash,,,,,,,False,False,False,MISSED
79,79.png,Diesel,2.899,Cash,,,,,,,False,False,False,MISSED
80,80.png,Regular,1.719,Both,,,,,,,False,False,False,MISSED
81,81.png,Regular,2.299,Cash,,,,,,,False,False,False,MISSED
81,81.png,Regular,2.349,Credit,,,,,,,False,False,False,MISSED
82,82.png,Regular,2.299,Cash,,,,,,,False,False,False,MISSED
82,82.png,Regular,3.5,Credit,,,,,,,False,False,False,MISSED
83,83.png,Regular,2.899,Cash,,,,,,,False,False,False,MISSED
83,83.png,Regular,2.999,Credit,,,,,,,False,False,False,MISSED
84,84.png,Regular,2.879,Cash,,,,,,,False,False,False,MISSED
84,84.png,Regular,2.979,Credit,,,,,,,False,False,False,MISSED
85,85.png,Regular,2.299,Both,,,,,,,False,False,False,MISSED
85,85.png,Mid-Grade,2.419,Both,,,,,,,False,False,False,MISSED
85,85.png,Premium,2.669,Both,,,,,,,False,False,False,MISSED
86,86.png,Regular,2.299,Both,,,,,,,False,False,False,MISSED
86,86.png,Diesel,2.999,Both,,,,,,,False,False,False,MISSED
87,87.png,Regular,2.279,Cash,,,,,,,False,False,False,MISSED
87,87.png,Diesel,2.599,Cash,,,,,,,False,False,False,MISSED
88,88.png,Regular,2.589,Credit,,,,,,,False,False,False,MISSED
88,88.png,Diesel,2.749,Credit,,,,,,,False,False,False,MISSED
89,89.png,Regular,2.279,Cash,,,,,,,False,False,False,MISSED
89,89.png,Diesel,2.599,Cash,,,,,,,False,False,False,MISSED
90,90.png,Regular,2.509,Both,,,,,,,False,False,False,MISSED
91,91.png,Regular,2.439,Both,,,,,,,False,False,False,MISSED
91,91.png,Mid-Grade,2.699,Both,,,,,,,False,False,False,MISSED
91,91.png,Premium,2.999,Both,,,,,,,False,False,False,MISSED
92,92.png,Regular,2.169,Both,,,,,,,False,False,False,MISSED
92,92.png,Mid-Grade,2.499,Both,,,,,,,False,False,False,MISSED
92,92.png,Premium,2.699,Both,,,,,,,False,False,False,MISSED
92,92.png,Diesel,2.779,Both,,,,,,,False,False,False,MISSED
93,93.png,Regular,2.169,Both,,,,,,,False,False,False,MISSED
93,93.png,Mid-Grade,2.499,Both,,,,,,,False,False,False,MISSED
93,93.png,Premium,2.699,Both,,,,,,,False,False,False,MISSED
93,93.png,Diesel,2.819,Both,,,,,,,False,False,False,MISSED
94,94.png,Regular,2.169,Both,,,,,,,False,False,False,MISSED
94,94.png,Mid-Grade,2.499,Both,,,,,,,False,False,False,MISSED
94,94.png,Premium,2.699,Both,,,,,,,False,False,False,MISSED
94,94.png,Diesel,2.819,Both,,,,,,,False,False,False,MISSED
95,95.png,Regular,2.699,Both,,,,,,,False,False,False,MISSED
95,95.png,Mid-Grade,3.059,Both,,,,,,,False,False,False,MISSED
95,95.png,Premium,3.499,Both,,,,,,,False,False,False,MISSED
96,96.png,Regular,2.799,Both,,,,,,,False,False,False,MISSED
96,96.png,Diesel,2.999,Both,,,,,,,False,False,False,MISSED
96,96.png,Mid-Grade,2.999,Both,,,,,,,False,False,False,MISSED
96,96.png,Premium,3.299,Both,,,,,,,False,False,False,MISSED
97,97.png,Regular,2.169,Both,,,,,,,False,False,False,MISSED
97,97.png,Mid-Grade,2.499,Both,,,,,,,False,False,False,MISSED
97,97.png,Premium,2.699,Both,,,,,,,False,False,False,MISSED
97,97.png,Diesel,2.779,Both,,,,,,,False,False,False,MISSED
98,98.png,Regular,2.999,Both,,,,,,,False,False,False,MISSED
98,98.png,Diesel,3.299,Both,,,,,,,False,False,False,MISSED
98,98.png,Mid-Grade,3.299,Both,,,,,,,False,False,False,MISSED
98,98.png,Premium,3.599,Both,,,,,,,False,False,False,MISSED
99,99.png,Regular,2.169,Both,,,,,,,False,False,False,MISSED
99,99.png,Mid-Grade,2.499,Both,,,,,,,False,False,False,MISSED
99,99.png,Premium,2.699,Both,,,,,,,False,False,False,MISSED
99,99.png,Diesel,2.819,Both,,,,,,,False,False,False,MISSED
100,100.png,Regular,2.199,Both,,,,,,,False,False,False,MISSED
100,100.png,Mid-Grade,2.559,Both,,,,,,,False,False,False,MISSED
100,100.png,Premium,2.799,Both,,,,,,,False,False,False,MISSED
100,100.png,Diesel,2.859,Both,,,,,,,False,False,False,MISSED
101,101.png,Regular,2.799,Both,,,,,,,False,False,False,MISSED
101,101.png,Mid-Grade,3.199,Both,,,,,,,False,False,False,MISSED
101,101.png,Diesel,3.359,Both,,,,,,,False,False,False,MISSED
101,101.png,Premium,3.699,Both,,,,,,,False,False,False,MISSED
102,102.png,Regular,2.199,Both,,,,,,,False,False,False,MISSED
102,102.png,Mid-Grade,2.559,Both,,,,,,,False,False,False,MISSED
102,102.png,Premium,2.779,Both,,,,,,,False,False,False,MISSED
103,103.png,Regular,2.859,Both,,,,,,,False,False,False,MISSED
103,103.png,Mid-Grade,3.059,Both,,,,,,,False,False,False,MISSED
103,103.png,Premium,3.399,Both,,,,,,,False,False,False,MISSED
104,104.png,Regular,2.459,Both,,,,,,,False,False,False,MISSED
104,104.png,Diesel,2.499,Both,,,,,,,False,False,False,MISSED
105,105.png,Regular,2.999,Both,,,,,,,False,False,False,MISSED
106,106.png,Regular,2.999,Both,,,,,,,False,False,False,MISSED
107,107.png,Regular,2.439,Cash,,,,,,,False,False,False,MISSED
107,107.png,Regular,2.539,Credit,,,,,,,False,False,False,MISSED
107,107.png,Diesel,2.939,Both,,,,,,,False,False,False,MISSED
108,108.png,Regular,2.459,Both,,,,,,,False,False,False,MISSED
108,108.png,Diesel,2.499,Both,,,,,,,False,False,False,MISSED
109,109.png,Regular,2.779,Both,,,,,,,False,False,False,MISSED
109,109.png,Regular,2.879,Both,,,,,,,False,False,False,MISSED
109,109.png,Diesel,3.179,Both,,,,,,,False,False,False,MISSED
109,109.png,Mid-Grade,3.379,Both,,,,,,,False,False,False,MISSED
109,109.png,Premium,3.879,Both,,,,,,,False,False,False,MISSED
110,110.png,Regular,2.999,Both,,,,,,,False,False,False,MISSED
110,110.png,Mid-Grade,3.599,Both,,,,,,,False,False,False,MISSED
110,110.png,Premium,3.899,Both,,,,,,,False,False,False,MISSED
111,111.png,Regular,3.279,Both,,,,,,,False,False,False,MISSED
111,111.png,Diesel,3.279,Both,,,,,,,False,False,False,MISSED
111,111.png,Regular,3.309,Both,,,,,,,False,False,False,MISSED
111,111.png,Mid-Grade,3.679,Both,,,,,,,False,False,False,MISSED
