img_idx,source_file,gt_count,correct,close,wrong_price,missed,extra,mean_price_error
0,0.png,4,4,0,0,0,0,0.0
1,1.png,4,4,0,0,0,0,0.0
2,2.png,2,2,0,0,0,0,0.0
3,3.png,6,6,0,0,0,0,0.0
4,4.png,4,4,0,0,0,0,0.0
5,5.png,3,3,0,0,0,0,0.0
6,6.png,2,2,0,0,0,0,0.0
7,7.png,4,4,0,0,0,0,0.0
8,8.png,3,3,0,0,0,0,0.0
9,9.png,2,2,0,0,0,0,0.0
10,10.png,2,2,0,0,0,0,0.0
11,11.png,2,2,0,0,0,0,0.0
12,12.png,2,2,0,0,0,0,0.0
13,13.png,1,1,0,0,0,0,0.0
14,14.png,1,1,0,0,0,0,0.0
15,15.png,2,2,0,0,0,0,0.0
16,16.png,1,1,0,0,0,0,0.009
17,17.png,1,1,0,0,0,0,0.0
18,18.png,1,1,0,0,0,0,0.0
19,19.png,2,2,0,0,0,0,0.0
20,20.png,2,2,0,0,0,0,0.0
21,21.png,2,0,0,0,2,0,
22,22.png,2,0,0,0,2,0,
23,23.png,4,0,0,0,4,0,
24,24.png,2,0,0,0,2,0,
25,25.png,3,0,0,0,3,0,
26,26.png,2,0,0,0,2,0,
27,27.png,4,0,0,0,4,0,
28,28.png,2,0,0,0,2,0,
29,29.png,1,0,0,0,1,0,
30,30.png,3,0,0,0,3,0,
31,31.png,3,0,0,0,3,0,
32,32.png,1,0,0,0,1,0,
33,33.png,2,0,0,0,2,0,
34,34.png,2,0,0,0,2,0,
35,35.png,2,0,0,0,2,0,
36,36.png,1,0,0,0,1,0,
37,37.png,1,0,0,0,1,0,
38,38.png,1,0,0,0,1,0,
39,39.png,2,0,0,0,2,0,
40,40.png,4,0,0,0,4,0,
41,41.png,1,0,0,0,1,0,
42,42.png,3,0,0,0,3,0,
43,43.png,1,0,0,0,1,0,
44,44.png,2,0,0,0,2,0,
45,45.png,1,0,0,0,1,0,
46,46.png,2,0,0,0,2,0,
47,47.png,2,0,0,0,2,0,
48,48.png,2,0,0,0,2,0,
49,49.png,1,0,0,0,1,0,
50,50.png,2,0,0,0,2,0,
51,51.png,2,0,0,0,2,0,
52,52.png,1,0,0,0,1,0,
53,53.png,2,0,0,0,2,0,
54,54.png,1,0,0,0,1,0,
55,55.png,2,0,0,0,2,0,
56,56.png,1,0,0,0,1,0,
57,57.png,1,0,0,0,1,0,
58,58.png,1,0,0,0,1,0,
59,59.png,2,0,0,0,2,0,
60,60.png,2,0,0,0,2,0,
61,61.png,1,0,0,0,1,0,
62,62.png,1,0,0,0,1,0,
63,63.png,1,0,0,0,1,0,
64,64.png,1,0,0,0,1,0,
65,65.png,2,0,0,0,2,0,
66,66.png,2,0,0,0,2,0,
67,67.png,2,0,0,0,2,0,
68,68.png,2,0,0,0,2,0,
69,69.png,2,0,0,0,2,0,
70,70.png,3,0,0,0,3,0,
71,71.png,2,0,0,0,2,0,
72,72.png,3,0,0,0,3,0,
73,73.png,2,0,0,0,2,0,
74,74.png,2,0,0,0,2,0,
75,75.png,2,0,0,0,2,0,
76,76.png,1,0,0,0,1,0,
77,77.png,1,0,0,0,1,0,
78,78.png,1,0,0,0,1,0,
79,79.png,3,0,0,0,3,0,
80,80.png,1,0,0,0,1,0,
81,81.png,2,0,0,0,2,0,
82,82.png,2,0,0,0,2,0,
83,83.png,2,0,0,0,2,0,
84,84.png,2,0,0,0,2,0,
85,85.png,3,0,0,0,3,0,
86,86.png,2,0,0,0,2,0,
87,87.png,2,0,0,0,2,0,
88,88.png,2,0,0,0,2,0,
89,89.png,2,0,0,0,2,0,
90,90.png,1,0,0,0,1,0,
91,91.png,3,0,0,0,3,0,
92,92.png,4,0,0,0,4,0,
93,93.png,4,0,0,0,4,0,
94,94.png,4,0,0,0,4,0,
95,95.png,3,0,0,0,3,0,
96,96.png,4,0,0,0,4,0,
97,97.png,4,0,0,0,4,0,
98,98.png,4,0,0,0,4,0,
99,99.png,4,0,0,0,4,0,
100,100.png,4,0,0,0,4,0,
101,101.png,4,0,0,0,4,0,
102,102.png,3,0,0,0,3,0,
103,103.png,3,0,0,0,3,0,
104,104.png,2,0,0,0,2,0,
105,105.png,1,0,0,0,1,0,
106,106.png,1,0,0,0,1,0,
107,107.png,3,0,0,0,3,0,
108,108.png,2,0,0,0,2,0,
109,109.png,5,0,0,0,5,0,
110,110.png,3,0,0,0,3,0,
111,111.png,5,0,0,0,5,0,
112,112.png,3,0,0,0,3,0,
113,113.png,5,0,0,0,5,0,
114,114.png,1,0,0,0,1,0,
115,115.png,3,0,0,0,3,0,
116,116.png,3,0,0,0,3,0,
117,117.png,5,0,0,0,5,0,
118,118.png,3,0,0,0,3,0,
119,119.png,2,0,0,0,2,0,
120,120.png,3,0,0,0,3,0,
121,121.png,4,0,0,0,4,0,
122,122.png,2,0,0,0,2,0,
123,123.png,3,0,0,0,3,0,
124,124.png,2,0,0,0,2,0,
125,125.png,2,0,0,0,2,0,
126,126.png,2,0,0,0,2,0,
127,127.png,2,0,0,0,2,0,
128,128.png,2,0,0,0,2,0,
129,129.png,3,0,0,0,3,0,
130,130.png,2,0,0,0,2,0,
131,131.png,2,0,0,0,2,0,
132,132.png,2,0,0,0,2,0,
133,133.png,1,0,0,0,1,0,
134,134.png,2,0,0,0,2,0,
135,135.png,1,0,0,0,1,0,
136,136.png,4,0,0,0,4,0,
137,137.png,8,0,0,0,8,0,
138,138.png,1,0,0,0,1,0,
139,139.png,3,0,0,0,3,0,
140,140.png,4,0,0,0,4,0,
141,141.png,8,0,0,0,8,0,
142,142.png,3,0,0,0,3,0,
143,143.png,2,0,0,0,2,0,
144,144.png,2,0,0,0,2,0,
145,145.png,2,0,0,0,2,0,
146,146.png,3,0,0,0,3,0,
147,147.png,1,0,0,0,1,0,
148,148.png,4,0,0,0,4,0,
149,149.png,2,0,0,0,2,0,
150,150.png,3,0,0,0,3,0,
151,151.png,3,0,0,0,3,0,
152,152.png,3,0,0,0,3,0,
153,153.png,3,0,0,0,3,0,
154,154.png,2,0,0,0,2,0,
155,155.png,1,0,0,0,1,0,
156,156.png,1,0,0,0,1,0,
157,157.png,3,0,0,0,3,0,
158,158.png,2,0,0,0,2,0,
159,159.png,3,0,0,0,3,0,
160,160.png,3,0,0,0,3,0,
161,161.png,3,0,0,0,3,0,
162,162.png,3,0,0,0,3,0,
163,163.png,2,0,0,0,2,0,
164,164.png,3,0,0,0,3,0,
165,165.png,2,0,0,0,2,0,
166,166.png,3,0,0,0,3,0,
167,167.png,2,0,0,0,2,0,
168,168.png,2,0,0,0,2,0,
169,169.png,2,0,0,0,2,0,
170,170.png,3,0,0,0,3,0,
171,171.png,3,0,0,0,3,0,
172,172.png,4,0,0,0,4,0,
173,173.png,6,0,0,0,6,0,
174,174.png,3,0,0,0,3,0,
175,175.png,6,0,0,0,6,0,
176,176.png,8,0,0,0,8,0,
177,177.png,3,0,0,0,3,0,
178,178.png,3,0,0,0,3,0,
179,179.png,3,0,0,0,3,0,
180,180.png,2,0,0,0,2,0,
